48,151,17,19,42,-96,-13,-30,43,40,76,46,-115,10844,17,1064
60,115,24,24,51,-104,-14,-31,59,28,61,47,-120,10662,27,1416
76,134,39,23,49,-100,-4,-57,32,54,49,33,-133,10602,26,1292
71,158,16,24,39,-107,5,-18,13,41,83,28,-72,10491,19,1056
53,102,-8,18,28,-74,-41,7,25,16,63,20,-87,10385,5,1004
64,112,14,22,31,-53,-19,-30,42,40,76,46,-106,11215,20,1044
56,108,15,11,3,-58,-7,-2,24,24,48,26,-115,11474,24,1112
104,135,2,0,11,-97,-12,-20,23,40,57,-10,-97,10168,27,720
67,121,-10,25,12,-61,-37,1,29,44,66,14,-94,10063,38,1736
77,127,-10,32,68,-76,-16,16,37,36,89,49,-110,9542,22,1184
89,116,21,35,14,-87,-52,7,39,46,117,4,-109,9365,8,1132
44,132,0,19,35,-69,-50,-12,23,71,90,4,-78,9313,30,1044
54,143,-8,24,36,-95,25,-42,21,58,61,-5,-81,9086,69,1028
103,162,1,17,61,-88,33,-41,2,62,61,33,-124,9042,39,620
47,111,22,31,24,-66,19,-3,43,36,63,6,-92,9045,35,1244
125,171,23,12,38,-70,1,-44,44,51,52,5,-122,9291,56,1456
48,80,30,11,12,-76,-45,-26,0,29,48,28,-100,9671,27,1044
67,115,-4,18,13,-41,11,-39,58,27,52,21,-125,9752,36,1668
89,201,-1,1,1,-78,0,9,21,27,47,54,-110,9775,47,1156
94,107,28,16,28,-70,-30,4,25,31,61,49,-68,9819,35,1772
37,146,27,-3,17,-86,-16,-30,35,21,51,61,-111,9991,34,1572
97,212,5,32,38,-101,-31,-37,45,59,49,44,-142,10300,5,1220
48,88,6,23,26,-77,6,-21,32,38,26,28,-112,10777,22,1724
35,112,13,30,28,-96,-49,-44,19,27,59,46,-124,11126,11,1032
50,94,9,5,6,-64,-30,-35,12,13,33,42,-126,11624,12,1380
